211 10742153
212 3077004
213 3735363
214 23154
215 7519498
216 7662211
217 12290841
218 14004566
219 2669937
220 2041594
221 4548120
222 2214132
223 14415886
224 12161002
225 2857255
226 5838798
227 110907
228 13653012
229 7007530
230 8973371
231 2209167
232 15259540
233 8035677
234 1052068
235 8194635
236 11600489
237 11995159
238 4099673
239 1580653
240 13757975
241 7021933
242 816492
243 2747807
244 8339604
245 10906608
246 14043023
247 13545000
248 12260826
249 15633059
250 13679895
251 1220612
252 8317308
253 13340745
254 468275
255 9305298
256 8641472
257 4847075
258 11143624
259 6739313
260 10338364
261 1717874
262 2916324
263 97569
264 7431698
265 3202406
266 15864289
267 15258988
268 535283
269 7162757
270 9668480
271 4330271
272 3730024
273 16513348
274 12073349
275 11518530
276 16351068
277 3773005
278 3656939
279 2515769
280 1834226
281 11322490
282 12039200
283 9183632
284 7911959
285 3283729
286 10804470
287 4891220
288 15472710
289 14252472
290 13140587
291 14303045
292 11202062
293 1650848
294 16384930
295 15630905
296 879857
297 1592381
298 12131269
299 9864532
300 12596501
301 3628646
302 13549724
303 2038904
304 6121656
305 15967310
306 2613758
307 2809823
308 15217164
309 11259912
310 11252992
311 12355813
312 3096101
313 9071889
314 3029248
315 10389365
316 1617042
317 5720244
318 14275424
319 899821
320 14004047
321 5681594
322 9444147
323 11052358
324 9345329
325 15614168
326 6394060
327 1658206
328 3245361
329 11502874
330 12479567
331 12049437
332 4061567
333 1569596
334 10224459
335 15277242
336 6902924
337 4825242
338 9326256
339 967122
340 3967091
341 8678319
342 7874118
343 3472218
344 791895
345 12768624
346 16082525
347 2237667
348 2726621
349 10730163
350 5413171
351 12297322
352 7842730
353 5403405
354 15894690
355 2089214
356 4903374
357 15046603
358 8470342
359 5589699
360 13680345
361 10066339
362 2255868
363 9166919
364 4058013
365 14261976
366 10252680
367 14862335
368 16547836
369 4672473
370 367834
371 2160672
372 5637634
373 13102584
374 13547897
375 9234960
376 10793944
377 2121977
378 3353221
379 8444777
380 10556120
381 4367604
382 10339904
383 4044820
